field,Region,Farm_Type,soil_type,GIS_X_V2,GIS_Y_V2,avg.percent.C,avg.percent.h,avg.percent.n,Weight_Sand,Weight_Silt,Weight_Clay,pH,Olsen_P_mg_per_l,K_mg_per_l,Mg_mg_per_l,Isotope_delta_N,delta_PDB,Defunct_C.N
51a,Tayside,LEAF,sandy loam,,,2.328409333,0.665403933,0.2264947,52,26,22,5.6,47,266,252,6.314372259,-27.28255495,12.39909364
51b,Tayside,LEAF,sandy loam,,,1.937466333,0.529276467,0.2045439,56,22,22,5.5,42,170,225,6.185318866,-26.62267407,11.46928725
52a,Tayside,Conventional,clay loam,,,1.949343,0.542994867,0.1770936,49,29,22,5.4,44.8,188,199,5.18720044,-26.23591045,13.72709626
52b,Tayside,Conventional,sandy clay loam,,,1.697978333,0.501560267,0.159749433,56,24,20,6.3,40.6,217,281,5.922897647,-26.45085219,11.98264224
53a,Angus,LEAF,medium loam,,,2.676992,0.548369933,0.2418042,53,27,20,5.4,24.8,76,223,5.108931387,-27.22406175,13.13975376
53b,Angus,LEAF,medium loam,,,2.586042667,0.613932267,0.243536667,51,27,22,5.5,30,127,183,6.048437714,-26.71391219,12.37887592
54a,Tayside,LEAF,sandy clay loam,,,2.863927667,0.6806431,0.277064733,51,28,21,5.6,44.2,108,199,NA,NA,NA
54b,Tayside,LEAF,sandy loam,,,3.110347667,0.515561833,0.267686667,77,14,9,5.4,57.4,172,150,6.682153394,-26.47609922,13.3218929
55a,Tayside,LEAF,sandy loam,,,2.002494,0.537761133,0.200342933,46,29,25,5.6,30.4,75,144,6.539839902,-26.81066675,12.17944708
55b,Tayside,LEAF,sandy loam,,,2.251340333,0.4716724,0.207519867,68,17,15,5.2,39,96,71,5.832075937,-27.17388031,13.43342819
56a,NA,LEAF,sandy loam,,,2.092270667,0.4225188,0.2104276,53,27,20,5.3,26,173,127,5.619928684,-27.37169793,12.16565493
56b,NA,LEAF,sandy loam,,,1.914203667,0.3406041,0.191078967,67,18,15,6,21.8,191,162,5.146102783,-27.20240668,12.16311755
57a,Borders,Conventional,clay loam,,,3.457639,0.630035667,0.335622367,42,35,23,5.5,34.2,160,151,6.290646297,-27.03745349,13.86030454
57b,Borders,Conventional,sandy loam,,,3.735018333,0.655543967,0.369313633,53,30,17,5.4,33,194,137,NA,NA,NA
58a,Aberdeenshire,Conventional,clay loam,,,4.755982333,1.129842333,0.420459167,34,43,23,5.6,36,173,70,5.435543829,-27.28434552,12.91426091
58b,Aberdeenshire,Conventional,clay loam,,,5.259376,1.115735667,0.4808284,40,39,21,5.3,29.6,91,85,5.660573197,-27.38653401,12.70715838
59a,Fife,LEAF,clay loam,,,2.938615,0.652530633,0.237709167,46,28,26,6.1,34,135,269,NA,NA,NA
59b,Fife,LEAF,sandy clay loam,,,2.684497667,0.491201967,0.222197667,65,30,14,5.8,67,223,139,6.041898596,-25.56503642,15.12886688
5a,Aberdeen,LEAF/organic,NA,,,3.398896,0.751040867,0.2993188,NA,NA,NA,NA,NA,NA,NA,7.048696471,-27.47756998,12.64854952
5b,Aberdeen,LEAF/organic,spring barley,,,3.874322,0.636174767,0.304178633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a,Aberdeen,Organic,clay loam,,,2.430048667,0.638673833,0.225269567,NA,NA,NA,NA,NA,NA,NA,6.248209819,-27.46694051,13.67748936
6b,Aberdeen,Organic,clay loam,,,2.334075667,0.635141333,0.195508767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7b,Aberdeen,Organic,clay loam,,,3.707152667,0.7486767,0.287779267,47,28,25,5.3,26.4,49,50,4.99380565,-27.85443831,14.53086641
8a,Aberdeen,LEAF,sandy/stony loam,,,4.630309,0.870058233,0.378295833,38,43,19,5.8,35,220,97,4.129758984,-26.41533529,12.26775339
8b,Aberdeen,LEAF,sandy/stony loam,,,3.034696667,0.711366367,0.236777067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9a,Aberdeen,LEAF,sandy loam,,,3.283031333,0.8323758,0.283371433,NA,NA,NA,NA,NA,NA,NA,6.170695104,-21.25517307,18.40113612
9b,Aberdeen,LEAF,NA,,,3.585956,0.8343489,0.295955567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
